threshold,precision,recall,f1,tp,fp,fn,tn,total_cost,fraud_caught_pct
0.01,0.0018,1.0,0.0037,75,40513,0,16374,202565,100.0
0.0149,0.0021,1.0,0.0042,75,35156,0,21731,175780,100.0
0.0198,0.0024,1.0,0.0048,75,30899,0,25988,154495,100.0
0.0248,0.0027,1.0,0.0054,75,27568,0,29319,137840,100.0
0.0297,0.003,1.0,0.006,75,24932,0,31955,124660,100.0
0.0346,0.0033,1.0,0.0066,75,22697,0,34190,113485,100.0
0.0395,0.0036,1.0,0.0071,75,20843,0,36044,104215,100.0
0.0445,0.0039,1.0,0.0077,75,19281,0,37606,96405,100.0
0.0494,0.0042,1.0,0.0083,75,17917,0,38970,89585,100.0
0.0543,0.0045,1.0,0.0089,75,16772,0,40115,83860,100.0
0.0592,0.0047,1.0,0.0094,75,15796,0,41091,78980,100.0
0.0642,0.005,1.0,0.0099,75,14949,0,41938,74745,100.0
0.0691,0.0053,1.0,0.0104,75,14206,0,42681,71030,100.0
0.074,0.0055,1.0,0.011,75,13543,0,43344,67715,100.0
0.0789,0.0058,1.0,0.0115,75,12917,0,43970,64585,100.0
0.0839,0.006,1.0,0.012,75,12342,0,44545,61710,100.0
0.0888,0.0063,1.0,0.0126,75,11801,0,45086,59005,100.0
0.0937,0.0065,0.9867,0.0129,74,11305,1,45582,57025,98.67
0.0986,0.0068,0.9867,0.0134,74,10855,1,46032,54775,98.67
0.1036,0.007,0.9867,0.014,74,10429,1,46458,52645,98.67
0.1085,0.0073,0.9867,0.0145,74,10046,1,46841,50730,98.67
0.1134,0.0076,0.9867,0.0151,74,9674,1,47213,48870,98.67
0.1183,0.0079,0.9867,0.0156,74,9323,1,47564,47115,98.67
0.1233,0.0081,0.9867,0.0161,74,9022,1,47865,45610,98.67
0.1282,0.0084,0.9867,0.0167,74,8728,1,48159,44140,98.67
0.1331,0.0087,0.9867,0.0172,74,8447,1,48440,42735,98.67
0.138,0.009,0.9867,0.0178,74,8175,1,48712,41375,98.67
0.143,0.0093,0.9867,0.0184,74,7910,1,48977,40050,98.67
0.1479,0.0096,0.9867,0.0189,74,7670,1,49217,38850,98.67
0.1528,0.0099,0.9867,0.0195,74,7437,1,49450,37685,98.67
0.1577,0.0102,0.9867,0.0201,74,7211,1,49676,36555,98.67
0.1627,0.0105,0.9867,0.0207,74,6987,1,49900,35435,98.67
0.1676,0.0108,0.9867,0.0213,74,6808,1,50079,34540,98.67
0.1725,0.0111,0.9867,0.0219,74,6612,1,50275,33560,98.67
0.1774,0.0112,0.9733,0.0222,73,6443,2,50444,33215,97.33
0.1824,0.0115,0.9733,0.0227,73,6277,2,50610,32385,97.33
0.1873,0.0119,0.9733,0.0234,73,6087,2,50800,31435,97.33
