threshold,precision,recall,f1,tp,fp,fn,tn,total_cost,fraud_caught_pct
0.01,0.0017,1.0,0.0034,75,43993,0,12894,219965,100.0
0.0149,0.0019,1.0,0.0038,75,39421,0,17466,197105,100.0
0.0198,0.0021,1.0,0.0042,75,35306,0,21581,176530,100.0
0.0248,0.0023,1.0,0.0047,75,31933,0,24954,159665,100.0
0.0297,0.0026,1.0,0.0051,75,29065,0,27822,145325,100.0
0.0346,0.0028,1.0,0.0056,75,26636,0,30251,133180,100.0
0.0395,0.0031,1.0,0.0061,75,24494,0,32393,122470,100.0
0.0445,0.0033,1.0,0.0066,75,22637,0,34250,113185,100.0
0.0494,0.0035,1.0,0.0071,75,21104,0,35783,105520,100.0
0.0543,0.0038,1.0,0.0075,75,19736,0,37151,98680,100.0
0.0592,0.004,1.0,0.008,75,18515,0,38372,92575,100.0
0.0642,0.0043,1.0,0.0085,75,17412,0,39475,87060,100.0
0.0691,0.0045,1.0,0.009,75,16492,0,40395,82460,100.0
0.074,0.0048,1.0,0.0095,75,15654,0,41233,78270,100.0
0.0789,0.005,1.0,0.01,75,14888,0,41999,74440,100.0
0.0839,0.0052,1.0,0.0104,75,14239,0,42648,71195,100.0
0.0888,0.0055,1.0,0.0109,75,13626,0,43261,68130,100.0
0.0937,0.0057,0.9867,0.0112,74,13019,1,43868,65595,98.67
0.0986,0.0059,0.9867,0.0117,74,12451,1,44436,62755,98.67
0.1036,0.0062,0.9867,0.0122,74,11937,1,44950,60185,98.67
0.1085,0.0064,0.9867,0.0128,74,11445,1,45442,57725,98.67
0.1134,0.0067,0.9867,0.0133,74,10993,1,45894,55465,98.67
0.1183,0.0069,0.9867,0.0138,74,10596,1,46291,53480,98.67
0.1233,0.0072,0.9867,0.0143,74,10217,1,46670,51585,98.67
0.1282,0.0074,0.9867,0.0148,74,9875,1,47012,49875,98.67
0.1331,0.0077,0.9867,0.0153,74,9551,1,47336,48255,98.67
0.138,0.0079,0.9867,0.0158,74,9246,1,47641,46730,98.67
0.143,0.0082,0.9867,0.0163,74,8950,1,47937,45250,98.67
0.1479,0.0084,0.9867,0.0167,74,8692,1,48195,43960,98.67
0.1528,0.0087,0.9867,0.0173,74,8425,1,48462,42625,98.67
0.1577,0.009,0.9867,0.0177,74,8190,1,48697,41450,98.67
0.1627,0.0091,0.9733,0.0181,73,7930,2,48957,40650,97.33
0.1676,0.0094,0.9733,0.0187,73,7658,2,49229,39290,97.33
0.1725,0.0097,0.9733,0.0192,73,7449,2,49438,38245,97.33
0.1774,0.01,0.9733,0.0198,73,7241,2,49646,37205,97.33
0.1824,0.0103,0.9733,0.0203,73,7040,2,49847,36200,97.33
0.1873,0.0106,0.9733,0.0209,73,6842,2,50045,35210,97.33
0.1922,0.0107,0.96,0.0211,72,6663,3,50224,34815,96.0
0.1971,0.0108,0.9467,0.0213,71,6515,4,50372,34575,94.67
0.2021,0.0111,0.9467,0.0218,71,6353,4,50534,33765,94.67
0.207,0.0113,0.9467,0.0224,71,6185,4,50702,32925,94.67
0.2119,0.0117,0.9467,0.0231,71,6007,4,50880,32035,94.67
0.2168,0.012,0.9467,0.0237,71,5856,4,51031,31280,94.67
0.2218,0.0122,0.9467,0.0242,71,5731,4,51156,30655,94.67
0.2267,0.0125,0.9467,0.0248,71,5591,4,51296,29955,94.67
0.2316,0.0128,0.9467,0.0253,71,5462,4,51425,29310,94.67
0.2365,0.0131,0.9467,0.0259,71,5329,4,51558,28645,94.67
