threshold,precision,recall,f1,tp,fp,fn,tn,total_cost,fraud_caught_pct
0.01,0.328,0.8267,0.4697,62,127,13,56760,7135,82.67
0.0149,0.4122,0.8133,0.5471,61,87,14,56800,7435,81.33
0.0198,0.4766,0.8133,0.601,61,67,14,56820,7335,81.33
0.0248,0.5128,0.8,0.625,60,57,15,56830,7785,80.0
0.0297,0.5217,0.8,0.6316,60,55,15,56832,7775,80.0
0.0346,0.5463,0.7867,0.6448,59,49,16,56838,8245,78.67
0.0395,0.5758,0.76,0.6552,57,42,18,56845,9210,76.0
0.0445,0.5895,0.7467,0.6588,56,39,19,56848,9695,74.67
0.0494,0.6437,0.7467,0.6914,56,31,19,56856,9655,74.67
0.0543,0.6512,0.7467,0.6957,56,30,19,56857,9650,74.67
0.0592,0.6585,0.72,0.6879,54,28,21,56859,10640,72.0
0.0642,0.6585,0.72,0.6879,54,28,21,56859,10640,72.0
0.0691,0.6625,0.7067,0.6839,53,27,22,56860,11135,70.67
0.074,0.6709,0.7067,0.6883,53,26,22,56861,11130,70.67
0.0789,0.6933,0.6933,0.6933,52,23,23,56864,11615,69.33
0.0839,0.7027,0.6933,0.698,52,22,23,56865,11610,69.33
0.0888,0.7027,0.6933,0.698,52,22,23,56865,11610,69.33
0.0937,0.7027,0.6933,0.698,52,22,23,56865,11610,69.33
0.0986,0.7222,0.6933,0.7075,52,20,23,56867,11600,69.33
0.1036,0.7183,0.68,0.6986,51,20,24,56867,12100,68.0
0.1085,0.7183,0.68,0.6986,51,20,24,56867,12100,68.0
0.1134,0.7183,0.68,0.6986,51,20,24,56867,12100,68.0
0.1183,0.7286,0.68,0.7034,51,19,24,56868,12095,68.0
0.1233,0.7286,0.68,0.7034,51,19,24,56868,12095,68.0
0.1282,0.7286,0.68,0.7034,51,19,24,56868,12095,68.0
0.1331,0.7612,0.68,0.7183,51,16,24,56871,12080,68.0
0.138,0.7612,0.68,0.7183,51,16,24,56871,12080,68.0
0.143,0.7612,0.68,0.7183,51,16,24,56871,12080,68.0
0.1479,0.7612,0.68,0.7183,51,16,24,56871,12080,68.0
0.1528,0.7727,0.68,0.7234,51,15,24,56872,12075,68.0
0.1577,0.7727,0.68,0.7234,51,15,24,56872,12075,68.0
0.1627,0.7727,0.68,0.7234,51,15,24,56872,12075,68.0
0.1676,0.7727,0.68,0.7234,51,15,24,56872,12075,68.0
0.1725,0.7692,0.6667,0.7143,50,15,25,56872,12575,66.67
0.1774,0.7812,0.6667,0.7194,50,14,25,56873,12570,66.67
0.1824,0.7812,0.6667,0.7194,50,14,25,56873,12570,66.67
0.1873,0.7812,0.6667,0.7194,50,14,25,56873,12570,66.67
0.1922,0.7778,0.6533,0.7101,49,14,26,56873,13070,65.33
0.1971,0.7903,0.6533,0.7153,49,13,26,56874,13065,65.33
0.2021,0.7903,0.6533,0.7153,49,13,26,56874,13065,65.33
0.207,0.7903,0.6533,0.7153,49,13,26,56874,13065,65.33
0.2119,0.7903,0.6533,0.7153,49,13,26,56874,13065,65.33
0.2168,0.7903,0.6533,0.7153,49,13,26,56874,13065,65.33
0.2218,0.7833,0.6267,0.6963,47,13,28,56874,14065,62.67
0.2267,0.7833,0.6267,0.6963,47,13,28,56874,14065,62.67
0.2316,0.7833,0.6267,0.6963,47,13,28,56874,14065,62.67
0.2365,0.7833,0.6267,0.6963,47,13,28,56874,14065,62.67
0.2415,0.7966,0.6267,0.7015,47,12,28,56875,14060,62.67
0.2464,0.7966,0.6267,0.7015,47,12,28,56875,14060,62.67
0.2513,0.7966,0.6267,0.7015,47,12,28,56875,14060,62.67
0.2562,0.7966,0.6267,0.7015,47,12,28,56875,14060,62.67
0.2612,0.7966,0.6267,0.7015,47,12,28,56875,14060,62.67
0.2661,0.8103,0.6267,0.7068,47,11,28,56876,14055,62.67
0.271,0.807,0.6133,0.697,46,11,29,56876,14555,61.33
0.2759,0.807,0.6133,0.697,46,11,29,56876,14555,61.33
0.2809,0.807,0.6133,0.697,46,11,29,56876,14555,61.33
0.2858,0.807,0.6133,0.697,46,11,29,56876,14555,61.33
0.2907,0.807,0.6133,0.697,46,11,29,56876,14555,61.33
0.2956,0.807,0.6133,0.697,46,11,29,56876,14555,61.33
0.3006,0.8214,0.6133,0.7023,46,10,29,56877,14550,61.33
0.3055,0.8214,0.6133,0.7023,46,10,29,56877,14550,61.33
0.3104,0.8182,0.6,0.6923,45,10,30,56877,15050,60.0
0.3153,0.8182,0.6,0.6923,45,10,30,56877,15050,60.0
0.3203,0.8182,0.6,0.6923,45,10,30,56877,15050,60.0
0.3252,0.8182,0.6,0.6923,45,10,30,56877,15050,60.0
0.3301,0.8333,0.6,0.6977,45,9,30,56878,15045,60.0
0.335,0.8333,0.6,0.6977,45,9,30,56878,15045,60.0
0.3399,0.8302,0.5867,0.6875,44,9,31,56878,15545,58.67
0.3449,0.8269,0.5733,0.6772,43,9,32,56878,16045,57.33
0.3498,0.8269,0.5733,0.6772,43,9,32,56878,16045,57.33
0.3547,0.8269,0.5733,0.6772,43,9,32,56878,16045,57.33
0.3596,0.8269,0.5733,0.6772,43,9,32,56878,16045,57.33
0.3646,0.84,0.56,0.672,42,8,33,56879,16540,56.0
0.3695,0.84,0.56,0.672,42,8,33,56879,16540,56.0
0.3744,0.84,0.56,0.672,42,8,33,56879,16540,56.0
0.3793,0.84,0.56,0.672,42,8,33,56879,16540,56.0
0.3843,0.84,0.56,0.672,42,8,33,56879,16540,56.0
0.3892,0.84,0.56,0.672,42,8,33,56879,16540,56.0
0.3941,0.8571,0.56,0.6774,42,7,33,56880,16535,56.0
0.399,0.8571,0.56,0.6774,42,7,33,56880,16535,56.0
0.404,0.8571,0.56,0.6774,42,7,33,56880,16535,56.0
0.4089,0.875,0.56,0.6829,42,6,33,56881,16530,56.0
0.4138,0.875,0.56,0.6829,42,6,33,56881,16530,56.0
0.4187,0.875,0.56,0.6829,42,6,33,56881,16530,56.0
0.4237,0.875,0.56,0.6829,42,6,33,56881,16530,56.0
0.4286,0.875,0.56,0.6829,42,6,33,56881,16530,56.0
0.4335,0.875,0.56,0.6829,42,6,33,56881,16530,56.0
0.4384,0.875,0.56,0.6829,42,6,33,56881,16530,56.0
0.4434,0.875,0.56,0.6829,42,6,33,56881,16530,56.0
0.4483,0.875,0.56,0.6829,42,6,33,56881,16530,56.0
0.4532,0.875,0.56,0.6829,42,6,33,56881,16530,56.0
0.4581,0.875,0.56,0.6829,42,6,33,56881,16530,56.0
0.4631,0.875,0.56,0.6829,42,6,33,56881,16530,56.0
0.468,0.875,0.56,0.6829,42,6,33,56881,16530,56.0
0.4729,0.8723,0.5467,0.6721,41,6,34,56881,17030,54.67
0.4778,0.8723,0.5467,0.6721,41,6,34,56881,17030,54.67
0.4828,0.8913,0.5467,0.6777,41,5,34,56882,17025,54.67
0.4877,0.8913,0.5467,0.6777,41,5,34,56882,17025,54.67
0.4926,0.9111,0.5467,0.6833,41,4,34,56883,17020,54.67
0.4975,0.9111,0.5467,0.6833,41,4,34,56883,17020,54.67
0.5025,0.9111,0.5467,0.6833,41,4,34,56883,17020,54.67
0.5074,0.9111,0.5467,0.6833,41,4,34,56883,17020,54.67
0.5123,0.9318,0.5467,0.6891,41,3,34,56884,17015,54.67
0.5172,0.9302,0.5333,0.678,40,3,35,56884,17515,53.33
0.5222,0.9302,0.5333,0.678,40,3,35,56884,17515,53.33
0.5271,0.9302,0.5333,0.678,40,3,35,56884,17515,53.33
0.532,0.9302,0.5333,0.678,40,3,35,56884,17515,53.33
0.5369,0.9286,0.52,0.6667,39,3,36,56884,18015,52.0
0.5419,0.9286,0.52,0.6667,39,3,36,56884,18015,52.0
0.5468,0.9512,0.52,0.6724,39,2,36,56885,18010,52.0
0.5517,0.9512,0.52,0.6724,39,2,36,56885,18010,52.0
0.5566,0.9512,0.52,0.6724,39,2,36,56885,18010,52.0
0.5616,0.9744,0.5067,0.6667,38,1,37,56886,18505,50.67
0.5665,0.9744,0.5067,0.6667,38,1,37,56886,18505,50.67
0.5714,0.9744,0.5067,0.6667,38,1,37,56886,18505,50.67
0.5763,0.9744,0.5067,0.6667,38,1,37,56886,18505,50.67
0.5813,0.9744,0.5067,0.6667,38,1,37,56886,18505,50.67
0.5862,0.9744,0.5067,0.6667,38,1,37,56886,18505,50.67
0.5911,0.9744,0.5067,0.6667,38,1,37,56886,18505,50.67
0.596,0.9744,0.5067,0.6667,38,1,37,56886,18505,50.67
0.601,0.9744,0.5067,0.6667,38,1,37,56886,18505,50.67
0.6059,0.9744,0.5067,0.6667,38,1,37,56886,18505,50.67
0.6108,0.9744,0.5067,0.6667,38,1,37,56886,18505,50.67
0.6157,0.9744,0.5067,0.6667,38,1,37,56886,18505,50.67
0.6207,0.9744,0.5067,0.6667,38,1,37,56886,18505,50.67
0.6256,0.9744,0.5067,0.6667,38,1,37,56886,18505,50.67
0.6305,0.9744,0.5067,0.6667,38,1,37,56886,18505,50.67
0.6354,0.973,0.48,0.6429,36,1,39,56886,19505,48.0
0.6404,0.973,0.48,0.6429,36,1,39,56886,19505,48.0
0.6453,0.973,0.48,0.6429,36,1,39,56886,19505,48.0
0.6502,0.973,0.48,0.6429,36,1,39,56886,19505,48.0
0.6551,0.973,0.48,0.6429,36,1,39,56886,19505,48.0
0.6601,0.973,0.48,0.6429,36,1,39,56886,19505,48.0
0.665,0.973,0.48,0.6429,36,1,39,56886,19505,48.0
0.6699,0.973,0.48,0.6429,36,1,39,56886,19505,48.0
0.6748,0.973,0.48,0.6429,36,1,39,56886,19505,48.0
0.6797,0.973,0.48,0.6429,36,1,39,56886,19505,48.0
0.6847,0.973,0.48,0.6429,36,1,39,56886,19505,48.0
0.6896,0.973,0.48,0.6429,36,1,39,56886,19505,48.0
0.6945,0.973,0.48,0.6429,36,1,39,56886,19505,48.0
0.6994,0.973,0.48,0.6429,36,1,39,56886,19505,48.0
0.7044,0.973,0.48,0.6429,36,1,39,56886,19505,48.0
0.7093,0.973,0.48,0.6429,36,1,39,56886,19505,48.0
0.7142,0.9722,0.4667,0.6306,35,1,40,56886,20005,46.67
0.7191,0.9722,0.4667,0.6306,35,1,40,56886,20005,46.67
0.7241,0.9722,0.4667,0.6306,35,1,40,56886,20005,46.67
0.729,0.9722,0.4667,0.6306,35,1,40,56886,20005,46.67
0.7339,0.9722,0.4667,0.6306,35,1,40,56886,20005,46.67
0.7388,0.9722,0.4667,0.6306,35,1,40,56886,20005,46.67
0.7438,0.9722,0.4667,0.6306,35,1,40,56886,20005,46.67
0.7487,0.9722,0.4667,0.6306,35,1,40,56886,20005,46.67
0.7536,0.9722,0.4667,0.6306,35,1,40,56886,20005,46.67
0.7585,0.9722,0.4667,0.6306,35,1,40,56886,20005,46.67
0.7635,0.9714,0.4533,0.6182,34,1,41,56886,20505,45.33
0.7684,0.9714,0.4533,0.6182,34,1,41,56886,20505,45.33
0.7733,0.9706,0.44,0.6055,33,1,42,56886,21005,44.0
0.7782,0.9706,0.44,0.6055,33,1,42,56886,21005,44.0
0.7832,0.9706,0.44,0.6055,33,1,42,56886,21005,44.0
0.7881,0.9706,0.44,0.6055,33,1,42,56886,21005,44.0
0.793,0.9706,0.44,0.6055,33,1,42,56886,21005,44.0
0.7979,0.9706,0.44,0.6055,33,1,42,56886,21005,44.0
0.8029,0.9706,0.44,0.6055,33,1,42,56886,21005,44.0
0.8078,0.9706,0.44,0.6055,33,1,42,56886,21005,44.0
0.8127,0.9706,0.44,0.6055,33,1,42,56886,21005,44.0
0.8176,0.9706,0.44,0.6055,33,1,42,56886,21005,44.0
0.8226,0.9706,0.44,0.6055,33,1,42,56886,21005,44.0
0.8275,0.9706,0.44,0.6055,33,1,42,56886,21005,44.0
0.8324,0.9706,0.44,0.6055,33,1,42,56886,21005,44.0
0.8373,0.9706,0.44,0.6055,33,1,42,56886,21005,44.0
0.8423,0.9706,0.44,0.6055,33,1,42,56886,21005,44.0
0.8472,0.9706,0.44,0.6055,33,1,42,56886,21005,44.0
0.8521,0.9706,0.44,0.6055,33,1,42,56886,21005,44.0
0.857,0.9706,0.44,0.6055,33,1,42,56886,21005,44.0
0.862,0.9688,0.4133,0.5794,31,1,44,56886,22005,41.33
0.8669,0.9688,0.4133,0.5794,31,1,44,56886,22005,41.33
0.8718,0.9677,0.4,0.566,30,1,45,56886,22505,40.0
0.8767,0.9677,0.4,0.566,30,1,45,56886,22505,40.0
0.8817,0.9677,0.4,0.566,30,1,45,56886,22505,40.0
0.8866,0.9677,0.4,0.566,30,1,45,56886,22505,40.0
0.8915,0.9677,0.4,0.566,30,1,45,56886,22505,40.0
0.8964,0.9667,0.3867,0.5524,29,1,46,56886,23005,38.67
0.9014,0.9667,0.3867,0.5524,29,1,46,56886,23005,38.67
0.9063,0.9667,0.3867,0.5524,29,1,46,56886,23005,38.67
0.9112,0.9667,0.3867,0.5524,29,1,46,56886,23005,38.67
0.9161,0.9667,0.3867,0.5524,29,1,46,56886,23005,38.67
0.9211,0.9667,0.3867,0.5524,29,1,46,56886,23005,38.67
0.926,0.9667,0.3867,0.5524,29,1,46,56886,23005,38.67
0.9309,0.9667,0.3867,0.5524,29,1,46,56886,23005,38.67
0.9358,0.9643,0.36,0.5243,27,1,48,56886,24005,36.0
0.9408,0.963,0.3467,0.5098,26,1,49,56886,24505,34.67
0.9457,0.963,0.3467,0.5098,26,1,49,56886,24505,34.67
0.9506,0.963,0.3467,0.5098,26,1,49,56886,24505,34.67
0.9555,0.963,0.3467,0.5098,26,1,49,56886,24505,34.67
0.9605,0.963,0.3467,0.5098,26,1,49,56886,24505,34.67
0.9654,0.9615,0.3333,0.495,25,1,50,56886,25005,33.33
0.9703,0.96,0.32,0.48,24,1,51,56886,25505,32.0
0.9752,0.9545,0.28,0.433,21,1,54,56886,27005,28.0
0.9802,0.9474,0.24,0.383,18,1,57,56886,28505,24.0
0.9851,0.9474,0.24,0.383,18,1,57,56886,28505,24.0
0.99,0.9375,0.2,0.3297,15,1,60,56886,30005,20.0
