threshold,precision,recall,f1,tp,fp,fn,tn,total_cost,fraud_caught_pct
0.01,0.0016,1.0,0.0032,75,46437,0,10450,232185,100.0
0.0149,0.0017,1.0,0.0035,75,42998,0,13889,214990,100.0
0.0198,0.0019,1.0,0.0037,75,40034,0,16853,200170,100.0
0.0248,0.002,1.0,0.004,75,37481,0,19406,187405,100.0
0.0297,0.0021,1.0,0.0043,75,34980,0,21907,174900,100.0
0.0346,0.0023,1.0,0.0046,75,32535,0,24352,162675,100.0
0.0395,0.0025,1.0,0.0049,75,30196,0,26691,150980,100.0
0.0445,0.0027,1.0,0.0053,75,27961,0,28926,139805,100.0
0.0494,0.0029,0.9867,0.0057,74,25724,1,31163,129120,98.67
0.0543,0.0031,0.9867,0.0062,74,23804,1,33083,119520,98.67
0.0592,0.0033,0.9867,0.0066,74,22158,1,34729,111290,98.67
0.0642,0.0036,0.9867,0.0071,74,20709,1,36178,104045,98.67
0.0691,0.0038,0.9867,0.0076,74,19363,1,37524,97315,98.67
0.074,0.004,0.9867,0.0081,74,18228,1,38659,91640,98.67
0.0789,0.0043,0.9867,0.0085,74,17173,1,39714,86365,98.67
0.0839,0.0045,0.9867,0.009,74,16276,1,40611,81880,98.67
0.0888,0.0048,0.9867,0.0095,74,15483,1,41404,77915,98.67
0.0937,0.0049,0.9733,0.0098,73,14733,2,42154,74665,97.33
0.0986,0.0052,0.9733,0.0103,73,14095,2,42792,71475,97.33
0.1036,0.0054,0.9733,0.0107,73,13462,2,43425,68310,97.33
0.1085,0.0056,0.9733,0.0112,73,12925,2,43962,65625,97.33
0.1134,0.0059,0.9733,0.0117,73,12375,2,44512,62875,97.33
0.1183,0.0061,0.9733,0.0122,73,11856,2,45031,60280,97.33
0.1233,0.0064,0.9733,0.0126,73,11419,2,45468,58095,97.33
0.1282,0.0065,0.96,0.0129,72,10986,3,45901,56430,96.0
0.1331,0.0067,0.96,0.0134,72,10599,3,46288,54495,96.0
0.138,0.007,0.96,0.0139,72,10203,3,46684,52515,96.0
0.143,0.0072,0.96,0.0144,72,9868,3,47019,50840,96.0
0.1479,0.0075,0.96,0.0149,72,9535,3,47352,49175,96.0
0.1528,0.0077,0.96,0.0153,72,9253,3,47634,47765,96.0
0.1577,0.008,0.96,0.0158,72,8968,3,47919,46340,96.0
0.1627,0.0082,0.96,0.0163,72,8700,3,48187,45000,96.0
0.1676,0.0085,0.96,0.0168,72,8447,3,48440,43735,96.0
0.1725,0.0087,0.96,0.0173,72,8185,3,48702,42425,96.0
0.1774,0.0089,0.96,0.0177,72,7979,3,48908,41395,96.0
0.1824,0.0091,0.9467,0.018,71,7742,4,49145,40710,94.67
0.1873,0.0093,0.9467,0.0185,71,7549,4,49338,39745,94.67
0.1922,0.0096,0.9467,0.0189,71,7351,4,49536,38755,94.67
0.1971,0.0098,0.9467,0.0194,71,7160,4,49727,37800,94.67
0.2021,0.0101,0.9467,0.02,71,6953,4,49934,36765,94.67
0.207,0.0104,0.9467,0.0206,71,6758,4,50129,35790,94.67
0.2119,0.0107,0.9467,0.0211,71,6572,4,50315,34860,94.67
0.2168,0.011,0.9467,0.0217,71,6404,4,50483,34020,94.67
0.2218,0.0112,0.9467,0.0222,71,6242,4,50645,33210,94.67
0.2267,0.0115,0.9467,0.0228,71,6091,4,50796,32455,94.67
0.2316,0.0118,0.9467,0.0234,71,5930,4,50957,31650,94.67
0.2365,0.0122,0.9467,0.0241,71,5753,4,51134,30765,94.67
0.2415,0.0125,0.9467,0.0247,71,5598,4,51289,29990,94.67
0.2464,0.0129,0.9467,0.0254,71,5453,4,51434,29265,94.67
0.2513,0.0132,0.9467,0.026,71,5307,4,51580,28535,94.67
0.2562,0.0136,0.9467,0.0267,71,5164,4,51723,27820,94.67
0.2612,0.0139,0.9467,0.0275,71,5019,4,51868,27095,94.67
0.2661,0.0143,0.9467,0.0282,71,4890,4,51997,26450,94.67
0.271,0.0147,0.9467,0.029,71,4757,4,52130,25785,94.67
0.2759,0.0151,0.9467,0.0298,71,4624,4,52263,25120,94.67
0.2809,0.0156,0.9467,0.0306,71,4491,4,52396,24455,94.67
0.2858,0.016,0.9467,0.0314,71,4371,4,52516,23855,94.67
0.2907,0.0164,0.9467,0.0323,71,4254,4,52633,23270,94.67
0.2956,0.0169,0.9467,0.0332,71,4132,4,52755,22660,94.67
0.3006,0.0174,0.9467,0.0342,71,4010,4,52877,22050,94.67
0.3055,0.0179,0.9467,0.0351,71,3899,4,52988,21495,94.67
0.3104,0.0183,0.9467,0.0359,71,3811,4,53076,21055,94.67
0.3153,0.0187,0.9467,0.0367,71,3723,4,53164,20615,94.67
0.3203,0.0192,0.9467,0.0376,71,3632,4,53255,20160,94.67
0.3252,0.0197,0.9467,0.0386,71,3534,4,53353,19670,94.67
0.3301,0.0202,0.9467,0.0396,71,3444,4,53443,19220,94.67
0.335,0.0208,0.9467,0.0407,71,3339,4,53548,18695,94.67
0.3399,0.0213,0.9467,0.0416,71,3268,4,53619,18340,94.67
0.3449,0.0218,0.9467,0.0426,71,3185,4,53702,17925,94.67
0.3498,0.0224,0.9467,0.0438,71,3097,4,53790,17485,94.67
0.3547,0.0229,0.9467,0.0446,71,3035,4,53852,17175,94.67
0.3596,0.0234,0.9467,0.0457,71,2960,4,53927,16800,94.67
0.3646,0.024,0.9467,0.0467,71,2892,4,53995,16460,94.67
0.3695,0.0245,0.9467,0.0478,71,2826,4,54061,16130,94.67
0.3744,0.0251,0.9467,0.0489,71,2755,4,54132,15775,94.67
0.3793,0.0255,0.9467,0.0497,71,2710,4,54177,15550,94.67
0.3843,0.0261,0.9467,0.0507,71,2654,4,54233,15270,94.67
0.3892,0.0266,0.9467,0.0517,71,2600,4,54287,15000,94.67
0.3941,0.0271,0.9467,0.0527,71,2548,4,54339,14740,94.67
0.399,0.0277,0.9467,0.0538,71,2491,4,54396,14455,94.67
0.404,0.0283,0.9467,0.0549,71,2442,4,54445,14210,94.67
0.4089,0.0289,0.9467,0.056,71,2388,4,54499,13940,94.67
0.4138,0.0295,0.9467,0.0573,71,2332,4,54555,13660,94.67
0.4187,0.0301,0.9467,0.0583,71,2289,4,54598,13445,94.67
0.4237,0.0299,0.92,0.0579,69,2241,6,54646,14205,92.0
0.4286,0.0304,0.92,0.0588,69,2202,6,54685,14010,92.0
0.4335,0.031,0.92,0.0601,69,2154,6,54733,13770,92.0
0.4384,0.0315,0.92,0.0608,69,2124,6,54763,13620,92.0
0.4434,0.0321,0.92,0.0621,69,2079,6,54808,13395,92.0
0.4483,0.0327,0.92,0.0632,69,2038,6,54849,13190,92.0
0.4532,0.0334,0.92,0.0644,69,1999,6,54888,12995,92.0
0.4581,0.034,0.92,0.0656,69,1961,6,54926,12805,92.0
