threshold,precision,recall,f1,tp,fp,fn,tn,total_cost,fraud_caught_pct
0.01,0.0479,0.9067,0.091,68,1352,7,55535,10260,90.67
0.0149,0.0856,0.88,0.156,66,705,9,56182,8025,88.0
0.0198,0.1331,0.88,0.2312,66,430,9,56457,6650,88.0
0.0248,0.1729,0.8667,0.2882,65,311,10,56576,6555,86.67
0.0297,0.2083,0.8667,0.3359,65,247,10,56640,6235,86.67
0.0346,0.26,0.8667,0.4,65,185,10,56702,5925,86.67
0.0395,0.2995,0.8667,0.4452,65,152,10,56735,5760,86.67
0.0445,0.3403,0.8667,0.4887,65,126,10,56761,5630,86.67
0.0494,0.3657,0.8533,0.512,64,111,11,56776,6055,85.33
0.0543,0.3818,0.84,0.525,63,102,12,56785,6510,84.0
0.0592,0.4118,0.84,0.5526,63,90,12,56797,6450,84.0
0.0642,0.4345,0.84,0.5727,63,82,12,56805,6410,84.0
0.0691,0.4532,0.84,0.5888,63,76,12,56811,6380,84.0
0.074,0.4737,0.84,0.6058,63,70,12,56817,6350,84.0
0.0789,0.4921,0.8267,0.6169,62,64,13,56823,6820,82.67
0.0839,0.5,0.8,0.6154,60,60,15,56827,7800,80.0
0.0888,0.5217,0.8,0.6316,60,55,15,56832,7775,80.0
0.0937,0.5505,0.8,0.6522,60,49,15,56838,7745,80.0
0.0986,0.5714,0.8,0.6667,60,45,15,56842,7725,80.0
0.1036,0.5825,0.8,0.6742,60,43,15,56844,7715,80.0
0.1085,0.6,0.8,0.6857,60,40,15,56847,7700,80.0
0.1134,0.6316,0.8,0.7059,60,35,15,56852,7675,80.0
0.1183,0.6383,0.8,0.7101,60,34,15,56853,7670,80.0
0.1233,0.6593,0.8,0.7229,60,31,15,56856,7655,80.0
0.1282,0.6667,0.8,0.7273,60,30,15,56857,7650,80.0
0.1331,0.6818,0.8,0.7362,60,28,15,56859,7640,80.0
0.138,0.6818,0.8,0.7362,60,28,15,56859,7640,80.0
0.143,0.6897,0.8,0.7407,60,27,15,56860,7635,80.0
0.1479,0.7059,0.8,0.75,60,25,15,56862,7625,80.0
0.1528,0.7108,0.7867,0.7468,59,24,16,56863,8120,78.67
0.1577,0.7284,0.7867,0.7564,59,22,16,56865,8110,78.67
0.1627,0.7375,0.7867,0.7613,59,21,16,56866,8105,78.67
0.1676,0.7532,0.7733,0.7632,58,19,17,56868,8595,77.33
0.1725,0.7632,0.7733,0.7682,58,18,17,56869,8590,77.33
0.1774,0.7632,0.7733,0.7682,58,18,17,56869,8590,77.33
0.1824,0.7632,0.7733,0.7682,58,18,17,56869,8590,77.33
0.1873,0.7733,0.7733,0.7733,58,17,17,56870,8585,77.33
