threshold,precision,recall,f1,tp,fp,fn,tn,total_cost,fraud_caught_pct
0.01,0.2263,0.8267,0.3553,62,212,13,56675,7560,82.67
0.0149,0.2837,0.8133,0.4207,61,154,14,56733,7770,81.33
0.0198,0.3297,0.8,0.4669,60,122,15,56765,8110,80.0
0.0248,0.3774,0.8,0.5128,60,99,15,56788,7995,80.0
0.0297,0.3974,0.8,0.531,60,91,15,56796,7955,80.0
0.0346,0.4348,0.8,0.5634,60,78,15,56809,7890,80.0
0.0395,0.458,0.8,0.5825,60,71,15,56816,7855,80.0
0.0445,0.48,0.8,0.6,60,65,15,56822,7825,80.0
0.0494,0.5,0.8,0.6154,60,60,15,56827,7800,80.0
0.0543,0.5217,0.8,0.6316,60,55,15,56832,7775,80.0
0.0592,0.5268,0.7867,0.631,59,53,16,56834,8265,78.67
0.0642,0.5413,0.7867,0.6413,59,50,16,56837,8250,78.67
0.0691,0.5619,0.7867,0.6556,59,46,16,56841,8230,78.67
0.074,0.5784,0.7867,0.6667,59,43,16,56844,8215,78.67
0.0789,0.5784,0.7867,0.6667,59,43,16,56844,8215,78.67
0.0839,0.5842,0.7867,0.6705,59,42,16,56845,8210,78.67
0.0888,0.59,0.7867,0.6743,59,41,16,56846,8205,78.67
0.0937,0.59,0.7867,0.6743,59,41,16,56846,8205,78.67
0.0986,0.6146,0.7867,0.6901,59,37,16,56850,8185,78.67
0.1036,0.6413,0.7867,0.7066,59,33,16,56854,8165,78.67
0.1085,0.6517,0.7733,0.7073,58,31,17,56856,8655,77.33
0.1134,0.6591,0.7733,0.7117,58,30,17,56857,8650,77.33
0.1183,0.6706,0.76,0.7125,57,28,18,56859,9140,76.0
0.1233,0.6867,0.76,0.7215,57,26,18,56861,9130,76.0
0.1282,0.7125,0.76,0.7355,57,23,18,56864,9115,76.0
0.1331,0.7125,0.76,0.7355,57,23,18,56864,9115,76.0
0.138,0.7125,0.76,0.7355,57,23,18,56864,9115,76.0
0.143,0.7125,0.76,0.7355,57,23,18,56864,9115,76.0
0.1479,0.7125,0.76,0.7355,57,23,18,56864,9115,76.0
0.1528,0.7125,0.76,0.7355,57,23,18,56864,9115,76.0
0.1577,0.7125,0.76,0.7355,57,23,18,56864,9115,76.0
0.1627,0.7308,0.76,0.7451,57,21,18,56866,9105,76.0
0.1676,0.7308,0.76,0.7451,57,21,18,56866,9105,76.0
0.1725,0.7308,0.76,0.7451,57,21,18,56866,9105,76.0
0.1774,0.7403,0.76,0.75,57,20,18,56867,9100,76.0
0.1824,0.7403,0.76,0.75,57,20,18,56867,9100,76.0
0.1873,0.7403,0.76,0.75,57,20,18,56867,9100,76.0
0.1922,0.7403,0.76,0.75,57,20,18,56867,9100,76.0
0.1971,0.7403,0.76,0.75,57,20,18,56867,9100,76.0
0.2021,0.75,0.76,0.755,57,19,18,56868,9095,76.0
0.207,0.76,0.76,0.76,57,18,18,56869,9090,76.0
0.2119,0.7703,0.76,0.7651,57,17,18,56870,9085,76.0
0.2168,0.7808,0.76,0.7703,57,16,18,56871,9080,76.0
0.2218,0.7808,0.76,0.7703,57,16,18,56871,9080,76.0
0.2267,0.7808,0.76,0.7703,57,16,18,56871,9080,76.0
0.2316,0.7808,0.76,0.7703,57,16,18,56871,9080,76.0
0.2365,0.7808,0.76,0.7703,57,16,18,56871,9080,76.0
0.2415,0.7808,0.76,0.7703,57,16,18,56871,9080,76.0
0.2464,0.7917,0.76,0.7755,57,15,18,56872,9075,76.0
0.2513,0.7917,0.76,0.7755,57,15,18,56872,9075,76.0
0.2562,0.7917,0.76,0.7755,57,15,18,56872,9075,76.0
0.2612,0.7917,0.76,0.7755,57,15,18,56872,9075,76.0
0.2661,0.7917,0.76,0.7755,57,15,18,56872,9075,76.0
0.271,0.7917,0.76,0.7755,57,15,18,56872,9075,76.0
0.2759,0.7917,0.76,0.7755,57,15,18,56872,9075,76.0
0.2809,0.7917,0.76,0.7755,57,15,18,56872,9075,76.0
0.2858,0.7917,0.76,0.7755,57,15,18,56872,9075,76.0
0.2907,0.7917,0.76,0.7755,57,15,18,56872,9075,76.0
0.2956,0.7917,0.76,0.7755,57,15,18,56872,9075,76.0
0.3006,0.8028,0.76,0.7808,57,14,18,56873,9070,76.0
0.3055,0.8028,0.76,0.7808,57,14,18,56873,9070,76.0
0.3104,0.8028,0.76,0.7808,57,14,18,56873,9070,76.0
0.3153,0.8028,0.76,0.7808,57,14,18,56873,9070,76.0
0.3203,0.8028,0.76,0.7808,57,14,18,56873,9070,76.0
0.3252,0.8261,0.76,0.7917,57,12,18,56875,9060,76.0
0.3301,0.8261,0.76,0.7917,57,12,18,56875,9060,76.0
0.335,0.8261,0.76,0.7917,57,12,18,56875,9060,76.0
0.3399,0.8261,0.76,0.7917,57,12,18,56875,9060,76.0
0.3449,0.8261,0.76,0.7917,57,12,18,56875,9060,76.0
0.3498,0.8261,0.76,0.7917,57,12,18,56875,9060,76.0
0.3547,0.8261,0.76,0.7917,57,12,18,56875,9060,76.0
0.3596,0.8261,0.76,0.7917,57,12,18,56875,9060,76.0
0.3646,0.8382,0.76,0.7972,57,11,18,56876,9055,76.0
0.3695,0.8507,0.76,0.8028,57,10,18,56877,9050,76.0
0.3744,0.8507,0.76,0.8028,57,10,18,56877,9050,76.0
0.3793,0.8507,0.76,0.8028,57,10,18,56877,9050,76.0
0.3843,0.8507,0.76,0.8028,57,10,18,56877,9050,76.0
0.3892,0.8507,0.76,0.8028,57,10,18,56877,9050,76.0
0.3941,0.8507,0.76,0.8028,57,10,18,56877,9050,76.0
0.399,0.8507,0.76,0.8028,57,10,18,56877,9050,76.0
0.404,0.8507,0.76,0.8028,57,10,18,56877,9050,76.0
0.4089,0.8507,0.76,0.8028,57,10,18,56877,9050,76.0
0.4138,0.8485,0.7467,0.7943,56,10,19,56877,9550,74.67
0.4187,0.8615,0.7467,0.8,56,9,19,56878,9545,74.67
0.4237,0.8615,0.7467,0.8,56,9,19,56878,9545,74.67
0.4286,0.8615,0.7467,0.8,56,9,19,56878,9545,74.67
0.4335,0.8615,0.7467,0.8,56,9,19,56878,9545,74.67
0.4384,0.8615,0.7467,0.8,56,9,19,56878,9545,74.67
0.4434,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.4483,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.4532,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.4581,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.4631,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.468,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.4729,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.4778,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.4828,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.4877,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.4926,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.4975,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.5025,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.5074,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.5123,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.5172,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.5222,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.5271,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.532,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.5369,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.5419,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.5468,0.875,0.7467,0.8058,56,8,19,56879,9540,74.67
0.5517,0.873,0.7333,0.7971,55,8,20,56879,10040,73.33
0.5566,0.873,0.7333,0.7971,55,8,20,56879,10040,73.33
0.5616,0.873,0.7333,0.7971,55,8,20,56879,10040,73.33
0.5665,0.873,0.7333,0.7971,55,8,20,56879,10040,73.33
0.5714,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.5763,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.5813,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.5862,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.5911,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.596,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.601,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.6059,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.6108,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.6157,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.6207,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.6256,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.6305,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.6354,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.6404,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.6453,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.6502,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.6551,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.6601,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.665,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.6699,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.6748,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.6797,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.6847,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.6896,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.6945,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.6994,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.7044,0.8871,0.7333,0.8029,55,7,20,56880,10035,73.33
0.7093,0.9016,0.7333,0.8088,55,6,20,56881,10030,73.33
0.7142,0.9016,0.7333,0.8088,55,6,20,56881,10030,73.33
0.7191,0.9016,0.7333,0.8088,55,6,20,56881,10030,73.33
0.7241,0.9016,0.7333,0.8088,55,6,20,56881,10030,73.33
0.729,0.9016,0.7333,0.8088,55,6,20,56881,10030,73.33
0.7339,0.9016,0.7333,0.8088,55,6,20,56881,10030,73.33
0.7388,0.9016,0.7333,0.8088,55,6,20,56881,10030,73.33
0.7438,0.9016,0.7333,0.8088,55,6,20,56881,10030,73.33
0.7487,0.9016,0.7333,0.8088,55,6,20,56881,10030,73.33
0.7536,0.9016,0.7333,0.8088,55,6,20,56881,10030,73.33
0.7585,0.9016,0.7333,0.8088,55,6,20,56881,10030,73.33
0.7635,0.9016,0.7333,0.8088,55,6,20,56881,10030,73.33
0.7684,0.9016,0.7333,0.8088,55,6,20,56881,10030,73.33
0.7733,0.9016,0.7333,0.8088,55,6,20,56881,10030,73.33
0.7782,0.9016,0.7333,0.8088,55,6,20,56881,10030,73.33
0.7832,0.9016,0.7333,0.8088,55,6,20,56881,10030,73.33
0.7881,0.9,0.72,0.8,54,6,21,56881,10530,72.0
0.793,0.9,0.72,0.8,54,6,21,56881,10530,72.0
0.7979,0.9,0.72,0.8,54,6,21,56881,10530,72.0
0.8029,0.9,0.72,0.8,54,6,21,56881,10530,72.0
0.8078,0.9,0.72,0.8,54,6,21,56881,10530,72.0
0.8127,0.9,0.72,0.8,54,6,21,56881,10530,72.0
0.8176,0.9,0.72,0.8,54,6,21,56881,10530,72.0
0.8226,0.9,0.72,0.8,54,6,21,56881,10530,72.0
0.8275,0.9,0.72,0.8,54,6,21,56881,10530,72.0
0.8324,0.9,0.72,0.8,54,6,21,56881,10530,72.0
0.8373,0.9,0.72,0.8,54,6,21,56881,10530,72.0
0.8423,0.9,0.72,0.8,54,6,21,56881,10530,72.0
0.8472,0.9153,0.72,0.806,54,5,21,56882,10525,72.0
0.8521,0.9153,0.72,0.806,54,5,21,56882,10525,72.0
0.857,0.9153,0.72,0.806,54,5,21,56882,10525,72.0
0.862,0.9153,0.72,0.806,54,5,21,56882,10525,72.0
0.8669,0.9153,0.72,0.806,54,5,21,56882,10525,72.0
0.8718,0.9153,0.72,0.806,54,5,21,56882,10525,72.0
0.8767,0.9138,0.7067,0.797,53,5,22,56882,11025,70.67
0.8817,0.9123,0.6933,0.7879,52,5,23,56882,11525,69.33
0.8866,0.9123,0.6933,0.7879,52,5,23,56882,11525,69.33
0.8915,0.9123,0.6933,0.7879,52,5,23,56882,11525,69.33
0.8964,0.9123,0.6933,0.7879,52,5,23,56882,11525,69.33
0.9014,0.9123,0.6933,0.7879,52,5,23,56882,11525,69.33
0.9063,0.9123,0.6933,0.7879,52,5,23,56882,11525,69.33
0.9112,0.9123,0.6933,0.7879,52,5,23,56882,11525,69.33
0.9161,0.9123,0.6933,0.7879,52,5,23,56882,11525,69.33
0.9211,0.9123,0.6933,0.7879,52,5,23,56882,11525,69.33
0.926,0.9123,0.6933,0.7879,52,5,23,56882,11525,69.33
0.9309,0.9123,0.6933,0.7879,52,5,23,56882,11525,69.33
0.9358,0.9123,0.6933,0.7879,52,5,23,56882,11525,69.33
0.9408,0.9123,0.6933,0.7879,52,5,23,56882,11525,69.33
0.9457,0.9123,0.6933,0.7879,52,5,23,56882,11525,69.33
0.9506,0.9123,0.6933,0.7879,52,5,23,56882,11525,69.33
0.9555,0.9123,0.6933,0.7879,52,5,23,56882,11525,69.33
0.9605,0.9123,0.6933,0.7879,52,5,23,56882,11525,69.33
0.9654,0.9286,0.6933,0.7939,52,4,23,56883,11520,69.33
0.9703,0.9286,0.6933,0.7939,52,4,23,56883,11520,69.33
0.9752,0.9286,0.6933,0.7939,52,4,23,56883,11520,69.33
0.9802,0.9286,0.6933,0.7939,52,4,23,56883,11520,69.33
0.9851,0.9455,0.6933,0.8,52,3,23,56884,11515,69.33
0.99,0.9455,0.6933,0.8,52,3,23,56884,11515,69.33
